Serie,RecaudaciónMundial,PelículasProducidas,PelículaMásExitosa,Periodo,Productora
Despicable Me,4489773025,5,Minions ,2010 -,Universal Pictures
Shrek,3534125712,5,Shrek 2 ,2001 - 2011,Universal Pictures
Ice Age,3216766529,6,Ice Age: Dawn of the Dinosaurs ,2002 -,Walt Disney Studios
Toy Story,3043569798,4,Toy Story 4 ,1995 -,Walt Disney Studios
Frozen,2740026933,2,Frozen II ,2013 - 2019,Walt Disney Studios
El rey león,2625427171,2,El rey león  ,1994 - 2019,Walt Disney Studios
Madagascar,2265901095,4,Madagascar 3: Europe's Most Wanted ,2005 - 2014,Universal Pictures
Buscando a Nemo,1968920975,2,Buscando a Dory ,2003 - 2016,Walt Disney Studios
Los Increíbles,1874247451,2,Los Increíbles 2 ,2004 - 2018,Walt Disney Studios
Kung Fu Panda,1818607666,3,Kung Fu Panda 2 ,2008 - 2016,Universal Pictures
Cars,1796644684,5,Cars 2 ,2006 - 2017,Walt Disney Studios
Cómo entrenar a tu dragón,1638215783,3,Cómo entrenar a tu dragón 2 ,2010 -,Universal Pictures
Hotel Transylvania,1376759377,4,Hotel Transylvania 3: Summer Vacation ,2012 -,Sony Pictures
"Monsters, Inc.",1375876256,2,Monsters University ,2001 - 2013,Walt Disney Studios
The Secret Life of Pets,1309041756,2,The Secret Life of Pets ,2016 - 2019,Universal Pictures
The Lego Movie,1095399139,4,The Lego Movie ,2014 - 2019,Warner Bros.
